VehicleId,brand + Model,MPGe,MPG,HP,drivetrain,cost_vehicle,cost_fuel,cost_maintenance,emit_vehicleprod,emit_batteryprod,emit_fuelprod,emit_fuelcons,Brands,Brandsid
34337,Jaguar XE (2020),-1,28,247.0,RWD,350.0,136.0,99.6,38.0,,74.8,305.0,Jaguar,20
34340,Jaguar XE AWD (2020),-1,28,247.0,AWD,368.0,139.0,101.0,39.4,,76.7,313.0,Jaguar,20
34341,Jaguar XE AWD 30t (2020),-1,25,296.0,AWD,406.0,154.0,105.0,39.4,,84.9,346.0,Jaguar,20
34342,Jaguar XF (2020),-1,28,247.0,RWD,448.0,136.0,110.0,39.7,,74.8,305.0,Jaguar,20
34343,Jaguar XF 30t (2020),-1,26,296.0,RWD,514.0,148.0,116.0,40.3,,81.6,333.0,Jaguar,20
34344,Jaguar XF AWD 2.0L (2020),-1,27,247.0,AWD,475.0,145.0,112.0,40.6,,79.7,325.0,Jaguar,20
34345,Jaguar XF AWD 30t (2020),-1,25,296.0,AWD,540.0,152.0,119.0,41.2,,83.9,342.0,Jaguar,20
34346,Jaguar XF Sportbrake AWD 2.0L (2020),-1,24,296.0,AWD,572.0,163.0,122.0,42.1,,89.7,366.0,Jaguar,20
34347,Jaguar E-Pace (2020),-1,24,247.0,AWD,360.0,163.0,101.0,42.4,,89.7,366.0,Jaguar,20
34348,Jaguar E-Pace P300 (2020),-1,23,247.0,AWD,439.0,165.0,109.0,44.1,,91.0,371.0,Jaguar,20
34349,Jaguar F-Pace 2.0L (2020),-1,24,247.0,AWD,439.0,161.0,109.0,43.2,,88.4,361.0,Jaguar,20
34352,Land Rover Range Rover Velar 2.0L (2020),-1,23,247.0,AWD,494.0,165.0,114.0,44.8,,91.0,371.0,Land,25
34386,Jaguar XF AWD 3.0L (2020),-1,23,380.0,AWD,599.0,168.0,125.0,42.0,,92.5,377.0,Jaguar,20
34387,Jaguar XF Sportbrake AWD 3.0L (2020),-1,21,380.0,AWD,630.0,187.0,128.0,43.3,,103.0,420.0,Jaguar,20
34388,Jaguar F-Pace 3.0L (2020),-1,20,380.0,AWD,545.0,193.0,119.0,43.8,,106.0,434.0,Jaguar,20
34389,Jaguar F-Pace 5.0L (2020),-1,18,550.0,AWD,707.0,215.0,136.0,46.3,,118.0,482.0,Jaguar,20
34474,Land Rover Range Rover Velar 5.0L (2020),-1,17,550.0,AWD,797.0,228.0,145.0,47.9,,126.0,511.0,Land,25
34486,Nissan 370Z Auto (2020),-1,22,332.0,RWD,276.0,178.0,92.2,37.8,,98.2,400.0,Nissan,35
34487,Nissan 370Z Manual (2020),-1,20,332.0,RWD,264.0,192.0,90.9,37.6,,105.0,430.0,Nissan,35
34527,Jaguar I-Pace (2020),76,-1,394.0,AWD,547.0,51.2,84.2,37.5,45.0,194.0,,Jaguar,20
34562,Land Rover Range Rover Velar P380 (2020),-1,20,380.0,AWD,661.0,190.0,131.0,46.9,,105.0,427.0,Land,25
34563,Land Rover Range Rover Velar 3.0L (2020),-1,20,340.0,AWD,546.0,190.0,119.0,46.9,,105.0,427.0,Land,25
34598,Mitsubishi Outlander 2WD (2020),-1,27,166.0,FWD,218.0,110.0,86.3,37.6,,78.5,321.0,Mitsubishi,34
34605,Mitsubishi Outlander 4WD 2.4L (2020),-1,26,166.0,AWD,236.0,115.0,88.1,38.7,,81.6,333.0,Mitsubishi,34
34663,Kia K900 (2020),-1,21,365.0,AWD,526.0,187.0,117.0,48.4,,103.0,420.0,Kia,23
34667,Infiniti QX60 FWD (2020),-1,23,300.0,FWD,366.0,170.0,101.0,40.9,,93.7,382.0,Infiniti,19
34669,Infiniti QX60 AWD (2020),-1,22,300.0,AWD,383.0,178.0,103.0,42.3,,98.2,400.0,Infiniti,19
34670,Subaru BRZ 205HP (2020),-1,24,205.0,RWD,253.0,161.0,89.8,33.2,,88.5,361.0,Subaru,41
34671,Subaru BRZ 200HP (2020),-1,27,200.0,RWD,263.0,141.0,90.8,33.6,,77.6,317.0,Subaru,41
34672,Subaru BRZ tS (2020),-1,23,205.0,RWD,276.0,170.0,92.2,33.2,,93.7,382.0,Subaru,41
34682,Subaru WRX 2.0L Manual (2020),-1,23,268.0,AWD,241.0,165.0,88.6,37.3,,91.0,371.0,Subaru,41
34683,Subaru WRX 2.0L Auto (2020),-1,20,268.0,AWD,280.0,190.0,92.6,37.6,,105.0,427.0,Subaru,41
34684,Subaru WRX 2.5L Manual (2020),-1,18,310.0,AWD,327.0,211.0,97.3,38.5,,116.0,474.0,Subaru,41
34694,Mitsubishi Eclipse Cross 2WD (2020),-1,26,152.0,FWD,211.0,113.0,85.6,37.6,,80.8,330.0,Mitsubishi,34
34695,Mitsubishi Eclipse Cross ES 2WD (2020),-1,27,152.0,FWD,202.0,109.0,84.6,37.2,,77.8,318.0,Mitsubishi,34
34696,Mitsubishi Eclipse Cross ES 4WD (2020),-1,26,152.0,AWD,216.0,113.0,86.0,38.4,,80.8,330.0,Mitsubishi,34
34742,Fiat 124 Spider 160HP (2020),-1,29,160.0,RWD,236.0,133.0,88.0,30.2,,73.2,299.0,Fiat,13
34743,Fiat 124 Spider 164HP (2020),-1,29,164.0,RWD,258.0,131.0,90.3,30.6,,72.2,295.0,Fiat,13
34789,Fiat 500 L (2020),-1,25,160.0,FWD,197.0,154.0,84.2,36.9,,84.9,346.0,Fiat,13
34797,Acura MDX FWD (2020),-1,23,290.0,FWD,391.0,170.0,104.0,43.3,,93.7,382.0,Acura,0
34803,Acura MDX AWD (2020),-1,22,290.0,AWD,408.0,178.0,105.0,45.0,,98.2,400.0,Acura,0
34805,Acura MDX Hybrid AWD (2020),-1,26,321.0,AWD,465.0,146.0,111.0,46.0,80.3,80.3,328.0,Acura,0
34863,Acura RLX (2020),-1,23,310.0,FWD,482.0,166.0,113.0,42.8,,91.3,372.0,Acura,0
34864,Acura RLX Hybrid (2020),-1,28,377.0,AWD,543.0,136.0,119.0,45.2,74.6,74.6,305.0,Acura,0
34893,Cadillac CT6 AWD 3.6L (2020),-1,21,335.0,AWD,518.0,141.0,117.0,43.5,,100.0,409.0,Cadillac,8
34920,Mitsubishi Eclipse Cross 4WD (2020),-1,25,152.0,AWD,225.0,117.0,87.0,38.7,,83.4,341.0,Mitsubishi,34
34942,Mercedes-Benz SL550 (2020),-1,20,449.0,RWD,1007.0,194.0,166.0,43.1,,107.0,436.0,Mercedes-Benz,33
34944,Mercedes-Benz SL450 (2020),-1,23,362.0,RWD,799.0,168.0,145.0,41.6,,92.5,377.0,Mercedes-Benz,33
34952,Ford Fusion FWD 1.5L (2020),-1,27,181.0,FWD,215.0,111.0,86.0,38.7,,78.8,322.0,Ford,14
34953,Ford Fusion AWD (2020),-1,23,245.0,AWD,245.0,128.0,89.0,41.5,,91.3,372.0,Ford,14
34956,Ford Fusion FWD 2.0L (2020),-1,25,245.0,FWD,302.0,121.0,94.8,40.4,,86.4,353.0,Ford,14
34957,Ford Fusion FWD 2.5L (2020),-1,25,175.0,FWD,203.0,121.0,84.8,38.2,,86.4,353.0,Ford,14
34958,Ford Fusion Hybrid FWD (2020),-1,42,141.0,FWD,246.0,70.9,89.1,39.5,1.1,50.4,207.0,Ford,14
34972,Mercedes-Benz S450 (2020),-1,22,362.0,RWD,827.0,174.0,148.0,47.5,,95.6,390.0,Mercedes-Benz,33
34973,Mercedes-Benz S450 4matic (2020),-1,21,362.0,AWD,853.0,180.0,151.0,48.4,,99.0,403.0,Mercedes-Benz,33
35063,Ford Fusion Energi Plug-in Hybrid (2020),103,42,141.0,FWD,284.0,53.4,97.1,42.0,6.82,101.0,96.1,Ford,14
35085,Porsche Panamera (2020),-1,22,330.0,RWD,765.0,176.0,142.0,44.3,,96.8,395.0,Porsche,38
35086,Porsche Panamera 4 (2020),-1,22,330.0,AWD,806.0,178.0,146.0,45.0,,98.2,400.0,Porsche,38
